magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
7.0,,7.0,768.0,117.0,0.509,17.0,14.0,-9.7963,159.596,,11.0,1
6.9,4.0,4.0,735.0,99.0,2.229,34.0,25.0,-4.9559,,2022.0,11.0,0
7.0,3.0,3.0,755.0,147.0,3.125,18.0,579.0,-20.0508,-178.346,2022.0,11.0,1
7.3,5.0,5.0,833.0,149.0,1.865,21.0,37.0,-19.2918,-172.129,2022.0,11.0,1
6.6,0.0,2.0,670.0,131.0,4.998,27.0,,-25.5948,178.278,2022.0,11.0,1
7.0,4.0,3.0,755.0,142.0,4.578,26.0,660.0,-26.0442,178.381,2022.0,11.0,1
6.8,1.0,3.0,711.0,136.0,4.678,22.0,630.379,-25.9678,178.363,2022.0,11.0,1
6.7,,6.0,797.0,145.0,1.151,37.0,20.0,7.6712,-82.3396,2022.0,10.0,1
6.8,8.0,7.0,1179.0,175.0,2.137,,20.0,18.33,-102.913,2022.0,9.0,1
7.6,,8.0,1799.0,271.0,1.153,69.0,26.943,18.3667,-103.252,2022.0,9.0,1
6.9,9.0,9.0,887.0,215.0,0.401,34.0,10.0,23.1444,121.307,2022.0,9.0,1
6.5,7.0,7.0,756.0,,0.43,,10.0,23.029,121.348,2022.0,9.0,1
,7.0,5.0,761.0,192.0,2.977,45.0,137.0,-21.2077,170.239,,9.0,1
7.6,8.0,8.0,965.0,272.0,3.158,,116.0,-6.2237,146.471,2022.0,,1
6.6,9.0,8.0,1043.0,141.0,8.454,34.0,12.0,29.7263,,2022.0,9.0,0
6.6,7.0,6.0,672.0,68.0,5.293,,30.0,-32.6922,-178.959,2022.0,8.0,1
7.0,9.0,8.0,1351.0,152.0,5.276,22.0,33.729,17.5978,120.809,2022.0,7.0,1
6.5,3.0,2.0,,236.0,1.999,31.0,622.73,-9.0618,-71.1647,2022.0,6.0,0
7.2,7.0,5.0,876.0,144.0,2.494,40.0,236.0,-14.8628,-70.3081,2022.0,5.0,1
6.9,2.0,5.0,733.0,127.0,0.371,45.0,10.0,-54.1325,159.027,2022.0,5.0,1
,6.0,5.0,762.0,162.0,1.505,30.0,220.0,-23.6141,-66.7236,,5.0,1
6.6,6.0,5.0,762.0,0.0,0.914,94.0,27.0,11.5538,-86.9919,2022.0,4.0,1
